name,appid,in_steam,type,steam_name,has_dlc,dlc,is_coming_soon,release_date
Chicken Shoot 2,294100.0,True,game,RimWorld,True,"[1826140, 1149640, 1392840, 367680, 990430, 1244270]",False,2018-10-17
RESIDENT EVIL 7 - Gold Edition,2062120.0,True,demo,Resident Evil Village Gold Edition Gameplay Demo,False,,False,2022-10-20
Scorn (STEAM),2023240.0,True,music,Scorn: Original Soundtrack,False,,False,2022-12-08
Little Nightmares: Complete Edition,1021790.0,True,dlc,Arma 3 Contact,False,,False,2019-07-25
Dead Cells,588650.0,True,game,Dead Cells,True,"[1580050, 1451460, 1204130, 1046440, 665380, 1393790, 2101430]",False,2018-08-06
SanctuaryRPG: Black Edition,328760.0,True,game,SanctuaryRPG: Black Edition,True,"[338770, 383130, 683610]",False,2015-02-13
Big Buck Hunter Arcade,455700.0,True,game,Big Buck Hunter Arcade,True,[499060],False,2016-10-25
Hellpoint,628670.0,True,game,Hellpoint,True,"[1380030, 1380040, 1525260]",False,2020-07-30
Gothic Universe Edition,6375.0,True,,,,,,null
Mortal Shell,1110910.0,True,game,Mortal Shell,True,[1672210],False,2021-08-18
Marble Duel: Sphere-Matching Tactical Fantasy,338120.0,True,game,Marble Duel: Sphere-Matching Tactical Fantasy,False,,False,2015-11-12
Hearts of Iron IV: By Blood Alone - DLC,1880650.0,True,dlc,Expansion - Hearts of Iron IV: By Blood Alone,False,,False,2022-09-27
Jets'n'Guns 2,830820.0,True,game,Jets'n'Guns 2,False,,False,2020-07-24
Core Keeper,1621690.0,True,game,Core Keeper,False,,False,2022-03-08
Beholder 2,761620.0,True,game,Beholder 2,False,,False,2018-12-04
Hero's Hour,1656780.0,True,game,Hero's Hour,True,"[1783690, 2007040]",False,2022-03-01
APEX LEGENDS - 1000 COINS VIRTUAL CURRENCY,1172470.0,True,game,Apex Legends™,False,,False,2020-11-04
Sausage Hunter,1296880.0,True,game,Sausage Hunter,False,,False,2020-06-17
CODE VEIN,678960.0,True,game,CODE VEIN,True,"[773991, 774011, 875950, 875960]",False,2019-09-26
Real Farm – Gold Edition,1321220.0,True,game,Real Farm – Gold Edition,False,,False,2021-06-24
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,970830.0,True,game,The Dungeon Of Naheulbeuk: The Amulet Of Chaos,True,"[1928750, 1633910, 1403620, 1655780, 1491140, 1403630]",False,2020-09-17
SpellForce: Conquest of Eo,1581770.0,True,game,SpellForce: Conquest of Eo,False,,False,2023-02-03
Shadow Tactics: Blades of the Shogun,418240.0,True,game,Shadow Tactics: Blades of the Shogun,True,"[556900, 571410]",False,2016-12-06
Solasta: Crown of the Magister - Primal Calling - DLC,1722280.0,True,dlc,Solasta: Crown of the Magister - Primal Calling,False,,False,2021-11-04
River City Super Sports Challenge ~All Stars Special~,326340.0,True,game,River City Super Sports Challenge ~All Stars Special~,False,,False,2015-12-17
Calico,1112890.0,True,game,Calico,True,[1500560],False,2020-12-15
Ready or Not,1144200.0,True,game,Ready or Not,False,,False,2023-12-13
Stellaris: Federations - DLC,21037.0,True,,,,,,null
Stellaris,281990.0,True,game,Stellaris,True,"[2534090, 2380030, 2277860, 2115770, 1889490, 1749080, 1522090, 1341520, 1140001, 1140000, 1045980, 944290, 716670, 553280, 844810, 642750, 518910, 756010, 498870, 492740, 497660, 633310, 616191]",False,2016-05-09
Contra: Rogue Corps,1020540.0,True,game,CONTRA: ROGUE CORPS,True,[1065660],False,2019-09-24
Timberman VS,943380.0,True,game,Timberman VS,False,,False,2018-10-12
Cyber Hook,1130410.0,True,game,Cyber Hook,True,[1726520],False,2020-09-24
Apex Legends: 6700 Coins,1172470.0,True,game,Apex Legends™,False,,False,2020-11-04
Secret Neighbor,12458.0,True,,,,,,null
Prison Architect: Jungle Pack - DLC,2237250.0,True,dlc,Prison Architect - Jungle Pack,False,,False,2023-02-07
The Dark Pictures Triple Pack,322210.0,True,game,"Guns, Gore & Cannoli",False,,False,2015-04-30
Detroit: Become Human,1222140.0,True,game,Detroit: Become Human,False,,False,2020-06-18
Black Skylands,1143810.0,True,game,Black Skylands,True,[1799480],False,2023-08-15
"Warhammer 40,000: Mechanicus",673880.0,True,game,"Warhammer 40,000: Mechanicus",True,"[916250, 1049290, 1236640]",False,2018-11-15
Partisans 1941 - Back Into Battle - DLC,1573740.0,True,dlc,Partisans 1941 - Back Into Battle,False,,False,2021-04-29
ELDEN RING,1245620.0,True,game,ELDEN RING,False,,False,2022-02-24
Mount & Blade II: Bannerlord,261550.0,True,game,Mount & Blade II: Bannerlord,True,"[2194520, 2240110]",False,2022-10-25
Mechanic Escape,268240.0,True,game,Mechanic Escape,False,,False,2014-04-15
State of Mind,437630.0,True,game,State of Mind,True,"[884030, 884031]",False,2018-08-15
Captain Tsubasa: Rise of New Champions,1163550.0,True,game,Captain Tsubasa: Rise of New Champions,True,"[1883630, 1883631, 1883632, 1883633, 1883634, 1883635, 1883636, 1883637, 1883638, 1883639, 1329573, 1329550, 1329551, 1329552, 1329553, 1329554, 1329555, 1329556, 1329557, 1329558, 1329559]",False,2020-09-28
Graveyard Keeper - Game of Crone - DLC,1430990.0,True,dlc,Graveyard Keeper - Game Of Crone,False,,False,2020-10-27
Fly O'Clock,490820.0,True,game,Fly O'Clock,False,,False,2016-07-08
Donut County,702670.0,True,game,Donut County,True,[931370],False,2018-08-28
Disciples III: Gold Edition,6253.0,True,,,,,,null
Beyond: Two Souls,960990.0,True,game,Beyond: Two Souls,False,,False,2020-06-18
Legend of Keepers: Soul Smugglers - DLC,1966480.0,True,dlc,Legend of Keepers: Soul Smugglers,False,,False,2022-06-20
Cities: Skylines - Airports - DLC,1726380.0,True,dlc,Cities: Skylines - Airports,False,,False,2022-01-25
Partisans 1941,1227530.0,True,game,Partisans 1941,True,"[1439000, 1236710, 1573740]",False,2020-10-14
Little Nightmares II,860510.0,True,game,Little Nightmares II,True,[1282531],False,2021-02-10
Days Gone,1196550.0,True,game,Days Gone By,False,,False,2019-12-09
One Piece Burning Blood - Gold Edition,501580.0,True,dlc,One Piece Burning Blood Gold Pack,False,,False,2016-09-01
"Love, Money, Rock'n'Roll",615530.0,True,game,"Love, Money, Rock'n'Roll",True,"[2105100, 2318010]",False,2022-08-04
Dead Cells: The Bad Seed - DLC,1204130.0,True,dlc,Dead Cells: The Bad Seed,False,,False,2020-02-11
METAL GEAR RISING: REVENGEANCE,235460.0,True,game,METAL GEAR RISING: REVENGEANCE,False,,False,2014-01-09
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Road to Boruto,2597.0,True,,,,,,null
They Always Run,1585440.0,True,game,They Always Run,True,[1766600],False,2021-10-20
Hearts of Iron IV: No Step Back - DLC,1348661.0,True,dlc,Expansion - Hearts of Iron IV: No Step Back,False,,False,2021-11-23
Darksiders II: Deathinitive Edition,388410.0,True,game,Darksiders II Deathinitive Edition,True,[417380],False,2015-11-05
Pathfinder: Wrath of the Righteous - Season Pass - DLC,1694801.0,True,dlc,Pathfinder: Wrath of the Righteous - Season Pass,False,,False,2021-09-02
Cities: Skylines,255710.0,True,game,Cities: Skylines,True,"[2342310, 2313320, 2313322, 2313321, 2313323, 2313324, 2148900, 2224691, 2224690, 2148902, 2225940, 2225941, 2148901, 2148903, 2148904, 2144480, 2144481, 2144482, 2144483, 2008400, 1992290, 1992291, 1992293, 1992292, 1726380, 1726382, 1726381, 1726384, 1726383, 1531471, 1531470, 1531473, 1531472, 1146930, 1148022, 1196100, 1148020, 1148021, 944071, 1059820, 1065491, 1065490, 715194, 944070, 715191, 614580, 547502, 515191, 420610, 369150, 715190, 547500, 515190, 815380, 715193, 614581, 614582, 547501, 346791, 715192, 456200, 563850]",False,2015-03-10
DJMAX RESPECT V - Muse Dash PACK - DLC,1958170.0,True,dlc,DJMAX RESPECT V - Muse Dash PACK,False,,False,2022-04-27
Megadimension Neptunia VIIR,774511.0,True,game,Megadimension Neptunia VIIR,True,"[803090, 847410, 847411, 847412, 847413, 847414, 847415, 847416, 847417, 847418, 847420, 847421, 847422, 847423]",False,2018-10-22
Animation Arts Collection,1392840.0,True,dlc,RimWorld - Ideology,False,,False,2021-07-20
Tom Clancy's Rainbow Six: Siege,377560.0,True,dlc,Tom Clancy's Rainbow Six® Siege - Ultra HD Texture Pack,False,,False,2015-12-16
RESIDENT EVIL 3,1173690.0,True,game,Resident Evil 3: Raccoon City Demo,False,,False,2020-03-19
Resident Evil 4 - Deluxe Edition,486810.0,True,game,House of Snark 6-in-1 Bundle,False,,False,2016-07-20
Solasta: Crown of the Magister - Lost Valley - DLC,1723950.0,True,dlc,Solasta: Crown of the Magister - Lost Valley,False,,False,2022-04-14
TEKKEN 8 - Deluxe Edition - ПРЕДЗАКАЗ,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Workers & Resources: Soviet Republic,784150.0,True,game,Workers & Resources: Soviet Republic,True,"[1049900, 1948180]",False,2019-03-15
"Warhammer 40,000: Gladius - Assault Pack - DLC",1330480.0,True,dlc,"Warhammer 40,000: Gladius - Assault Pack",False,,False,2020-05-28
DuckTales: Remastered,252350.0,True,game,Double Dragon: Neon,False,,False,2014-02-06
Human: Fall Flat,477160.0,True,game,Human Fall Flat,True,[632870],False,2016-07-22
Outer Wilds,753640.0,True,game,Outer Wilds,True,"[1286760, 1622100]",False,2020-06-18
Naruto Shippuden: Ultimate Ninja Storm 4,349040.0,True,game,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,True,"[1142330, 495160, 416424, 416420, 416421, 416422]",False,2016-02-04
Crusader Kings III: Royal Edition,1303182.0,True,dlc,Crusader Kings III: Royal Court,False,,False,2022-02-08
Soulstice,1602080.0,True,game,Soulstice,True,"[2052060, 2101860, 2110210]",False,2022-09-19
Rain World,312520.0,True,game,Rain World,True,"[610070, 1933390, 2282210]",False,2017-03-28
Crash Drive 2,343440.0,True,game,Crash Drive 2,False,,False,2015-05-28
Mortal Shell: The Virtuous Cycle - DLC,1672210.0,True,dlc,Mortal Shell: The Virtuous Cycle,False,,False,2021-08-18
Wanderlust: Transsiberian,1233420.0,True,game,Wanderlust: Transsiberian,False,,False,2020-04-09
Mortal Kombat 11,1461160.0,True,dlc,Mortal Kombat 11 4K Cinematic Pack,False,,False,2020-11-17
Orcs Must Die! 3,1522820.0,True,game,Orcs Must Die! 3,True,"[1781510, 1661400, 1936590]",False,2021-07-23
