appid,pos_reviews,neg_reviews,total_reviews,review_score_desc
1266700,944,267,1211,Mostly Positive
245280,2053,395,2448,Very Positive
1011670,309,86,395,Mostly Positive
574310,134,33,167,Very Positive
369000,136,62,198,Mixed
1041720,2663,762,3425,Mostly Positive
626550,23,44,67,Mostly Negative
1096530,10024,1310,11334,Very Positive
2100431,90,35,125,Mostly Positive
23841,0,0,0,No user reviews
438490,1412,234,1646,Very Positive
1056690,71,10,81,Very Positive
446800,3277,786,4063,Very Positive
1846460,353,17,370,Very Positive
699130,3368,580,3948,Very Positive
563190,82,7,89,Very Positive
42910,6831,1145,7976,Very Positive
475150,6211,640,6851,Very Positive
512900,7027,243,7270,Overwhelmingly Positive
2474860,102,57,159,Mixed
2440700,6,1,7,7 user reviews
604330,426,17,443,Very Positive
12749,0,0,0,No user reviews
871530,507,193,700,Mostly Positive
914710,1268,49,1317,Overwhelmingly Positive
2130950,21,10,31,Mixed
824610,24,5,29,Positive
689800,9,20,29,Mostly Negative
751820,129,55,184,Mostly Positive
1785150,3684,603,4287,Very Positive
860620,38,58,96,Mostly Negative
554800,36,8,44,Positive
1045980,173,53,226,Mostly Positive
939850,2078,762,2840,Mostly Positive
1123050,1506,161,1667,Very Positive
1392840,1592,294,1886,Very Positive
1367590,1395,116,1511,Very Positive
36633,0,0,0,No user reviews
609920,370,134,504,Mostly Positive
366270,42,9,51,Very Positive
5879,0,0,0,No user reviews
452060,1226,185,1411,Very Positive
1354830,845,108,953,Very Positive
1284130,60,8,68,Very Positive
1071870,1068,101,1169,Very Positive
374320,83997,5771,89768,Very Positive
2008400,89,72,161,Mixed
1158310,32966,2740,35706,Very Positive
46500,1013,180,1193,Very Positive
19000,373,487,860,Mixed
19080,3,9,12,Mostly Negative
1229880,38,11,49,Mostly Positive
429660,5237,438,5675,Very Positive
1016800,3794,656,4450,Very Positive
496460,1271,774,2045,Mixed
275060,26,84,110,Mostly Negative
580020,61,140,201,Mostly Negative
814580,2,0,2,2 user reviews
493540,284,52,336,Very Positive
253650,515,277,792,Mixed
1383960,148,35,183,Very Positive
535480,1626,335,1961,Very Positive
24480,114,90,204,Mixed
1161590,593,121,714,Very Positive
8038,0,0,0,No user reviews
31100,107,12,119,Very Positive
2228030,25,16,41,Mixed
1191630,604,68,672,Very Positive
528610,186,86,272,Mixed
1158220,163,17,180,Very Positive
1888160,27579,1927,29506,Very Positive
1339000,443,64,507,Very Positive
1045840,78,35,113,Mixed
1194630,1613,721,2334,Mixed
2311920,578,154,732,Mostly Positive
678960,14328,1923,16251,Very Positive
346110,185761,45197,230958,Very Positive
366910,271,266,537,Mixed
348430,66,3,69,Very Positive
282070,17424,1306,18730,Very Positive
241760,67,33,100,Mixed
1956040,723,210,933,Mostly Positive
701160,5814,613,6427,Very Positive
1726381,28,9,37,Mostly Positive
1232570,279,13,292,Very Positive
39680,1182,312,1494,Mostly Positive
1058650,2669,1031,3700,Mostly Positive
707030,4151,1405,5556,Mostly Positive
386770,88,26,114,Mostly Positive
1057750,1365,779,2144,Mixed
331870,1642,230,1872,Very Positive
1749080,317,30,347,Very Positive
356570,2437,388,2825,Very Positive
1049590,17,1,18,Positive
1708680,117,45,162,Mostly Positive
674940,46034,2706,48740,Very Positive
239250,1121,315,1436,Mostly Positive
39510,1634,245,1879,Very Positive
247950,184,549,733,Mostly Negative
4307,0,0,0,No user reviews
269330,156,22,178,Very Positive
1416420,360,2473,2833,Overwhelmingly Negative
1405790,106,47,153,Mixed
900040,833,314,1147,Mostly Positive
606710,341,23,364,Very Positive
1787480,11,10,21,Mixed
2673080,16,6,22,Mostly Positive
530760,396,457,853,Mixed
215930,278,117,395,Mostly Positive
941965,0,0,0,No user reviews
1162130,341,208,549,Mixed
2224691,15,7,22,Mixed
941965,0,0,0,No user reviews
1087429,12,1,13,Positive
1146930,144,90,234,Mixed
1726383,11,11,22,Mixed
1205240,119,15,134,Very Positive
1593780,83,11,94,Very Positive
936500,236,105,341,Mixed
1731070,579,135,714,Very Positive
353640,1004,140,1144,Very Positive
738540,1248,221,1469,Very Positive
505170,871,235,1106,Mostly Positive
699740,51,44,95,Mixed
1066780,6574,834,7408,Very Positive
726950,23,30,53,Mixed
289800,55,68,123,Mixed
294100,87312,1636,88948,Overwhelmingly Positive
2996,0,0,0,No user reviews
1172470,805,128,933,Very Positive
441680,15,16,31,Mixed
238370,1975,699,2674,Mostly Positive
1888160,27579,1927,29506,Very Positive
1726190,578,40,618,Very Positive
314790,312,99,411,Mostly Positive
257830,137,115,252,Mixed
1399700,48,21,69,Mixed
16236,0,0,0,No user reviews
12320,786,224,1010,Mostly Positive
220740,527,100,627,Very Positive
3270,179,94,273,Mixed
2243210,16,1,17,Positive
215790,41,155,196,Mostly Negative
1702430,17,5,22,Mostly Positive
442010,416,171,587,Mostly Positive
1331210,285,34,319,Very Positive
589360,3253,666,3919,Very Positive
250320,14857,372,15229,Overwhelmingly Positive
1114040,2,0,2,2 user reviews
1725350,5,2,7,7 user reviews
2378500,2002,90,2092,Overwhelmingly Positive
1528442,0,1,1,1 user reviews
1803780,5,3,8,8 user reviews
1221250,1081,68,1149,Very Positive
571720,89,35,124,Mostly Positive
637,0,0,0,No user reviews
2268220,0,1,1,1 user reviews
1368130,150,120,270,Mixed
401710,286,121,407,Mostly Positive
1033080,71,11,82,Very Positive
762830,356,210,566,Mixed
366870,415,141,556,Mostly Positive
1079830,86,33,119,Mostly Positive
1303184,245,188,433,Mixed
595550,25,17,42,Mixed
1132030,29,15,44,Mixed
286830,7,37,44,Negative
1356280,343,89,432,Mostly Positive
1449310,16,16,32,Mixed
613100,36205,2239,38444,Very Positive
443810,1949,687,2636,Mostly Positive
904380,122,52,174,Mostly Positive
1545560,953,44,997,Overwhelmingly Positive
844810,208,83,291,Mostly Positive
330420,49,11,60,Very Positive
192166,0,0,0,No user reviews
1097200,2067,894,2961,Mixed
12430,18,53,71,Mostly Negative
1052970,17,3,20,Positive
881960,7,3,10,Mostly Positive
346791,43,64,107,Mixed
785740,739,423,1162,Mixed
807120,2170,371,2541,Very Positive
245620,3506,1095,4601,Mostly Positive
1063310,72,20,92,Mostly Positive
1021110,172,46,218,Mostly Positive
2192770,0,0,0,No user reviews
2524160,25,0,25,Positive
1146600,76,30,106,Mostly Positive
361280,3864,298,4162,Very Positive
335300,21195,4260,25455,Very Positive
969990,7902,354,8256,Overwhelmingly Positive
1692280,13,2,15,Positive
311290,1859,644,2503,Mostly Positive
65600,84,132,216,Mostly Negative
1581420,4,2,6,6 user reviews
393460,4,7,11,Mostly Negative
2145870,11,5,16,Mixed
606280,2878,860,3738,Mostly Positive
1472560,462,158,620,Mostly Positive
1479890,18,3,21,Positive
702350,632,222,854,Mostly Positive
1323470,239,51,290,Very Positive
1172540,14,10,24,Mixed
11342,0,0,0,No user reviews
1095120,77,8,85,Very Positive
344480,145,4,149,Very Positive
859350,23,11,34,Mixed
1726382,18,10,28,Mixed
991560,274,214,488,Mixed
1193090,72,28,100,Mostly Positive
2065560,3,0,3,3 user reviews
498870,215,80,295,Mostly Positive
32620,236,26,262,Very Positive
1992291,11,3,14,Mostly Positive
253920,221,66,287,Mostly Positive
234670,2901,363,3264,Very Positive
358870,0,0,0,No user reviews
39510,1634,245,1879,Very Positive
39540,585,131,716,Very Positive
343100,256,113,369,Mixed
368390,1513,82,1595,Very Positive
959000,117,13,130,Very Positive
376300,868,72,940,Very Positive
2192770,0,0,0,No user reviews
1119980,1729,80,1809,Overwhelmingly Positive
2187290,2105,188,2293,Very Positive
1143650,74,61,135,Mixed
234270,1276,100,1376,Very Positive
1126050,140,44,184,Mostly Positive
91100,336,42,378,Very Positive
1454730,23,6,29,Mostly Positive
1018010,627,148,775,Very Positive
928990,92,34,126,Mostly Positive
1337760,1332,340,1672,Mostly Positive
527230,9238,1117,10355,Very Positive
754500,432,126,558,Mostly Positive
2192770,0,0,0,No user reviews
1694800,13,7,20,Mixed
1016920,3688,198,3886,Very Positive
888650,83,23,106,Mostly Positive
1622100,2454,277,2731,Very Positive
1148022,47,33,80,Mixed
322330,67917,2779,70696,Overwhelmingly Positive
108726,50,5,55,Very Positive
23420,82,53,135,Mixed
1358610,11,7,18,Mixed
32650,55,23,78,Mostly Positive
1592540,37,1,38,Positive
2012010,200,29,229,Very Positive
21208,0,0,0,No user reviews
1118240,1386,221,1607,Very Positive
1147550,4212,196,4408,Overwhelmingly Positive
1557180,17,2,19,Positive
1361510,4743,192,4935,Overwhelmingly Positive
944071,86,31,117,Mostly Positive
