name,appid
Pathologic 2,505230.0
POSTAL 2: Paradise Lost - DLC,360960.0
Graveyard Keeper - Stranger Sins - DLC,1163770.0
Kingdom: New Lands,496300.0
TEKKEN 7 - Originals Edition,40970.0
Cities: Skylines - Industries - DLC,715194.0
Victoria 3,529340.0
DRAGON BALL Z: KAKAROT,851850.0
Risky Rescue,439910.0
Deponia Doomsday,421050.0
Neighbours back From Hell,1283190.0
X-Blades,892970.0
Dreamscaper,1040420.0
Alan Wake,108710.0
Safecracker: The Ultimate Puzzle Adventure,3260.0
Marvel's Spider-Man Remastered,449394.0
Destroy All Humans! 2 – Reprobed,1266700.0
ENSLAVED™: Odyssey to the West™ - Premium Edition,245280.0
Totally Reliable Delivery Service,1011670.0
The Mooseman,574310.0
Pongo,369000.0
Kingdoms of Amalur: Re-Reckoning,1041720.0
Prodigy Tactics,626550.0
SOLASTA: Crown of the Magister,1096530.0
Solasta: Crown of the Magister - Palace of Ice - DLC,2100431.0
Dead Cells: DLCs Only BUNDLE - DLC,23841.0
GOD EATER 2 Rage Burst,438490.0
Drink More Glurp,1056690.0
Transport Fever,446800.0
Resident Evil 5,1846460.0
World War Z,699130.0
de Blob 2,563190.0
Magicka,42910.0
Titan Quest Anniversary Edition,475150.0
Streets of Rogue,512900.0
Wall World: Deep Threat - DLC,2474860.0
Train Valley 2 – The Pandeia Project - DLC,2440700.0
The Crown of Leaves,604330.0
Dungeons 3 - Complete Collection,12749.0
Radio Commander,871530.0
Cat Quest II,914710.0
Panzer Corps 2: Axis Operations - 1944 - DLC,2130950.0
Dungeons 3 - Clash of Gods - DLC,824610.0
Ni No Kuni II: Revenant Kingdom - The Prince's Edition,689800.0
Black Future '88,751820.0
Friends vs Friends,1785150.0
Undercover Missions: Operation Kursk K-141,860620.0
Masky,554800.0
Stellaris: Ancient Relics Story Pack - DLC,1045980.0
The Dark Pictures Anthology: Man Of Medan,939850.0
GRIME,1123050.0
RiMS Ultimate Edition,1392840.0
Tormented Souls,1367590.0
Sifu (Steam),36633.0
Hotshot Racing,609920.0
SHOCK TROOPERS,366270.0
Tyranny - Gold Edition,5879.0
Caveblazers,452060.0
Cat Cafe Manager,1354830.0
Sclash,1284130.0
BIPED,1071870.0
DARK SOULS™ III,374320.0
Cities: Skylines - Plazas & Promenades - DLC,2008400.0
Crusader Kings III,1158310.0
Syberia,46500.0
Silent Hill Homecoming,19000.0
Biozone,19080.0
Koumajou Remilia: Scarlet Symphony,1229880.0
Tales of Berseria,429660.0
Chernobylite Enhanced Edition,1016800.0
Life is Feudal: Forest Village,496460.0
Alone in the Dark: Illumination,275060.0
TEKKEN 7 - Season Pass - DLC,580020.0
Where Time Stood Still,814580.0
Figment,493540.0
Sparkle 2 Evo,253650.0
Nickelodeon Kart Racers 2: Grand Prix,1383960.0
Sundered: Eldritch Edition,535480.0
King Arthur II: The Role Playing Wargame,24480.0
Punch Club 2: Fast Forward,1161590.0
Hogwarts Legacy - Deluxe Edition,8038.0
Wallace & Gromit’s Grand Adventures,31100.0
Dr. Fetus' Mean Meat Machine,2228030.0
Shantae and the Seven Sirens,1191630.0
Double Dragon IV,528610.0
Kraken Academy!!,1158220.0
ARMORED CORE™ VI FIRES OF RUBICON™,1888160.0
Aquarium Designer,1339000.0
Intruders: Hide and Seek,1045840.0
The Dark Pictures Anthology: Little Hope,1194630.0
Crusader Kings III: Tours & Tournaments - DLC,2311920.0
Code Vein,678960.0
BACK 4 BLOOD,346110.0
The Long Journey Home,366910.0
Quell Reflect,348430.0
The Last of Us™ Part I - Deluxe Edition,282070.0
Kill to Collect,241760.0
Kingdom Eighties,1956040.0
Kingdom Two Crowns,701160.0
Cities: Skylines - Content Creator Pack: Vehicles of the World - DLC,1726381.0
Paper Beast,1232570.0
The Guild II - Renaissance,39680.0
Beyond the Wire,1058650.0
POSTAL 4: No Regerts,707030.0
Caladrius Blaze,386770.0
The Suicide of Rachel Foster,1057750.0
AER Memories of Old,331870.0
Stellaris: Aquatics Species Pack - DLC,1749080.0
Party Hard,356570.0
Returnal™,1049590.0
Kingdom Two Crowns: Norse Lands Edition,1708680.0
Stick Fight: The Game,674940.0
Castlevania: Lords of Shadow 2,239250.0
HITMAN™ 2 – GOLD EDITION,39510.0
Sacred 3,247950.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,4307.0
Chronology,269330.0
Europa Universalis IV: Leviathan - DLC,1416420.0
John Wick Hex,1405790.0
ELEX II,900040.0
Sphinx and the Cursed Mummy,606710.0
Metro Simulator 2,1787480.0
State of Decay: Year One Survival Edition,2673080.0
Hearts of Iron IV: Together For Victory - DLC,530760.0
Jagged Alliance 2 - Wildfire,215930.0
Devil May Cry 5 Deluxe + Vergil,941965.0
Windbound,1162130.0
Cities: Skylines - Content Creator Pack: Shopping Malls - DLC,2224691.0
Devil May Cry 5 + Vergil,941965.0
NARUTO TO BORUTO: SHINOBI STRIKER - Season Pass 2 - DLC,1087429.0
Cities: Skylines - Sunset Harbor - DLC,1146930.0
Cities: Skylines - On Air Radio - DLC,1726383.0
LEGO Star Wars: The Complete Saga,1205240.0
Organs Please,1593780.0
Transport INC,936500.0
Asterigos: Curse of the Stars,1731070.0
Train Valley,353640.0
Tales of Vesperia™: Definitive Edition,738540.0
Devil May Cry HD Collection,505170.0
Bannermen,699740.0
Transport Fever 2,1066780.0
Dark Rose Valkyrie,726950.0
Dracula: The Resurrection,289800.0
Wasteland 3,294100.0
Grand Ages: Rome GOLD,2996.0
APEX LEGENDS - 11500 COINS VIRTUAL CURRENCY,1172470.0
Obscuritas,441680.0
Magicka 2,238370.0
